START 10-3-2021 21:21:40
Executable: PTSKIM.exe; 10-3-2021 20:57:53
Running on: PC-LVV171
Control file: Capacity-Constraint.ctl; 10-3-2021 21:06:58
Convergence iteration 1: 279.1667
Convergence iteration 2: 181.2500
Convergence iteration 3: 60.4167
Convergence iteration 4: 60.4167
Convergence iteration 5: 36.2500
Convergence iteration 6: 24.1667
Convergence iteration 7: 34.5238
Convergence iteration 8: 19.4196
Convergence iteration 9: 25.1736
Convergence iteration 10: 16.1111
Convergence iteration 11: 13.1818
Convergence iteration 12: 19.2235
Convergence iteration 13: 11.6186
Convergence iteration 14: 15.9341
Convergence iteration 15: 10.3572
Convergence iteration 16: 9.0625
Convergence iteration 17: 13.3272
Convergence iteration 18: 8.2925
Convergence iteration 19: 7.4196
Convergence iteration 20: 11.4474
Convergence iteration 21: 6.9048
Convergence iteration 22: 10.2002
Convergence iteration 23: 6.4477
Convergence iteration 24: 5.9103
Convergence iteration 25: 9.0625
Convergence iteration 26: 5.5770
Convergence iteration 27: 8.2621
Convergence iteration 28: 5.2745
Convergence iteration 29: 4.9107
Convergence iteration 30: 7.5000
Convergence iteration 31: 4.6774
Convergence iteration 32: 4.3851
Convergence iteration 33: 6.8655
Convergence iteration 34: 4.2001
Convergence iteration 35: 6.3971
Convergence iteration 36: 4.0278
Convergence iteration 37: 3.8101
Convergence iteration 38: 5.9299
Convergence iteration 39: 3.6690
Convergence iteration 40: 5.5770
Convergence iteration 41: 3.5366
Convergence iteration 42: 3.3682
Convergence iteration 43: 5.2187
Convergence iteration 44: 3.2571
Convergence iteration 45: 4.9432
Convergence iteration 46: 3.1522
Convergence iteration 47: 3.0181
Convergence iteration 48: 4.6598
Convergence iteration 49: 2.9284
Convergence iteration 50: 2.8112
Convergence iteration 51: 4.4069
Convergence iteration 52: 2.7338
Convergence iteration 53: 4.2090
Convergence iteration 54: 2.6599
Convergence iteration 55: 2.5631
Convergence iteration 56: 4.0016
Convergence iteration 57: 2.4984
Convergence iteration 58: 3.8377
Convergence iteration 59: 2.4364
Convergence iteration 60: 2.3552
Convergence iteration 61: 3.6646
Convergence iteration 62: 2.3004
Convergence iteration 63: 3.5266
Convergence iteration 64: 2.2476
Convergence iteration 65: 2.1785
Convergence iteration 66: 3.3800
Convergence iteration 67: 2.1314
Convergence iteration 68: 2.0687
Convergence iteration 69: 3.2449
Convergence iteration 70: 2.0264
Convergence iteration 71: 3.1363
Convergence iteration 72: 1.9855
Convergence iteration 73: 1.9311
Convergence iteration 74: 3.0197
Convergence iteration 75: 1.8942
Convergence iteration 76: 2.9255
Convergence iteration 77: 1.8583
Convergence iteration 78: 1.8107
Convergence iteration 79: 2.8238
Convergence iteration 80: 1.7781
Convergence iteration 81: 1.7342
Convergence iteration 82: 2.7289
Convergence iteration 83: 1.7044
Convergence iteration 84: 2.6517
Convergence iteration 85: 1.6754
Convergence iteration 86: 1.6365
Convergence iteration 87: 2.5678
Convergence iteration 88: 1.6099
Convergence iteration 89: 2.4994
Convergence iteration 90: 1.5840
Convergence iteration 91: 1.5492
Convergence iteration 92: 2.4248
Convergence iteration 93: 1.5253
Convergence iteration 94: 2.3636
Convergence iteration 95: 1.5020
Convergence iteration 96: 1.4707
Convergence iteration 97: 2.2968
Convergence iteration 98: 1.4491
Convergence iteration 99: 1.4198
Convergence iteration 100: 2.2336
STOP 10-3-2021 21:21:42
