START 12-4-2021 22:46:32
Executable: PTSKIM.exe; 12-4-2021 22:45:28
Running on: PC-LVV171
Control file: Crowding.ctl; 10-3-2021 21:11:38
Convergence iteration 1: 279.1667
Convergence iteration 2: 181.2500
Convergence iteration 3: 60.4167
Convergence iteration 4: 17.5678
Convergence iteration 5: 7.4043
Convergence iteration 6: 9.2645
Convergence iteration 7: 7.1436
Convergence iteration 8: 5.4677
Convergence iteration 9: 4.2566
Convergence iteration 10: 3.6749
Convergence iteration 11: 3.1126
Convergence iteration 12: 2.8070
Convergence iteration 13: 2.4691
Convergence iteration 14: 2.2793
Convergence iteration 15: 2.0512
Convergence iteration 16: 1.9215
Convergence iteration 17: 1.7564
Convergence iteration 18: 1.6622
Convergence iteration 19: 1.5368
Convergence iteration 20: 1.4653
Convergence iteration 21: 1.3665
Convergence iteration 22: 1.3103
Convergence iteration 23: 1.2305
Convergence iteration 24: 1.1852
Convergence iteration 25: 1.1194
Convergence iteration 26: 1.0821
Convergence iteration 27: 1.0268
Convergence iteration 28: 0.9955
Convergence iteration 29: 0.9484
Convergence iteration 30: 0.9218
Convergence iteration 31: 0.8812
Convergence iteration 32: 0.8583
Convergence iteration 33: 0.7794
Convergence iteration 34: 0.9022
Convergence iteration 35: 0.7338
Convergence iteration 36: 0.7840
Convergence iteration 37: 0.7037
Convergence iteration 38: 0.7297
Convergence iteration 39: 0.6722
Convergence iteration 40: 0.6846
Convergence iteration 41: 0.6416
Convergence iteration 42: 0.6461
Convergence iteration 43: 0.6125
Convergence iteration 44: 0.6125
Convergence iteration 45: 0.5853
Convergence iteration 46: 0.5827
Convergence iteration 47: 0.5599
Convergence iteration 48: 0.5559
Convergence iteration 49: 0.5365
Convergence iteration 50: 0.5317
Convergence iteration 51: 0.5148
Convergence iteration 52: 0.5097
Convergence iteration 53: 0.4947
Convergence iteration 54: 0.4894
Convergence iteration 55: 0.4761
Convergence iteration 56: 0.4708
Convergence iteration 57: 0.4587
Convergence iteration 58: 0.4536
Convergence iteration 59: 0.4426
Convergence iteration 60: 0.4376
Convergence iteration 61: 0.4275
Convergence iteration 62: 0.4227
Convergence iteration 63: 0.4134
Convergence iteration 64: 0.4089
Convergence iteration 65: 0.4002
Convergence iteration 66: 0.3959
Convergence iteration 67: 0.3878
Convergence iteration 68: 0.3837
Convergence iteration 69: 0.3761
Convergence iteration 70: 0.3722
Convergence iteration 71: 0.3651
Convergence iteration 72: 0.3614
Convergence iteration 73: 0.3466
Convergence iteration 74: 0.3731
Convergence iteration 75: 0.3360
Convergence iteration 76: 0.3591
Convergence iteration 77: 0.3263
Convergence iteration 78: 0.3466
Convergence iteration 79: 0.3172
Convergence iteration 80: 0.3353
Convergence iteration 81: 0.3088
Convergence iteration 82: 0.3250
Convergence iteration 83: 0.3023
Convergence iteration 84: 0.3155
Convergence iteration 85: 0.2963
Convergence iteration 86: 0.3067
Convergence iteration 87: 0.2903
Convergence iteration 88: 0.2986
Convergence iteration 89: 0.2844
Convergence iteration 90: 0.2910
Convergence iteration 91: 0.2787
Convergence iteration 92: 0.2838
Convergence iteration 93: 0.2731
Convergence iteration 94: 0.2771
Convergence iteration 95: 0.2677
Convergence iteration 96: 0.2707
Convergence iteration 97: 0.2624
Convergence iteration 98: 0.2647
Convergence iteration 99: 0.2572
Convergence iteration 100: 0.2590
STOP 12-4-2021 22:46:33
