LINE	SEGMENT	DIST
1	1	542
1	2	304
1	3	412
1	4	472
1	5	275
1	6	338
1	7	500
1	8	418
1	9	443
1	10	466
1	11	420
1	12	335
1	13	557
1	14	480
1	15	455
1	16	777
1	17	594
1	18	425
1	19	262
1	20	600
1	21	370
1	22	360
1	23	596
1	24	575
1	25	325
1	26	920
1	27	1170
1	28	755
1	29	710
1	30	530
1	31	804
1	32	407
1	33	555
1	34	444
1	35	575
1	36	628
1	37	525
1	38	650
3	1	292
3	2	373
3	3	227
3	4	330
3	5	730
3	6	468
3	7	215
3	8	285
3	9	360
3	10	420
3	11	242
3	12	470
3	13	470
3	14	530
3	15	415
3	16	380
3	17	410
3	18	820
3	19	680
3	20	433
3	21	357
3	22	335
3	23	355
3	24	315
3	25	540
3	26	405
3	27	400
3	28	395
3	29	770
3	30	230
5	1	450
5	2	530
5	3	382
5	4	300
5	5	380
5	6	475
5	7	440
5	8	388
5	9	420
5	10	435
5	11	291
5	12	425
5	13	504
5	14	400
5	15	480
5	16	770
5	17	415
5	18	380
5	19	410
5	20	820
5	21	810
5	22	720
5	23	1840
5	24	1280
5	25	1100
5	26	800
5	27	5360
5	28	855
5	29	725
5	30	942
5	31	760
5	32	1070
5	33	1010
5	34	1520
5	35	725
5	36	822
5	37	1260
5	38	770
5	39	510
5	40	1100
7	1	440
7	2	540
7	3	303
7	4	370
7	5	465
7	6	620
7	7	795
7	8	515
7	9	440
7	10	590
7	11	470
7	12	530
7	13	415
7	14	380
7	15	410
7	16	820
7	17	810
7	18	720
7	19	1840
7	20	1280
7	21	1100
7	22	800
7	23	5360
7	24	855
7	25	725
7	26	942
7	27	760
7	28	1610
7	29	815
7	30	860
7	31	970
7	32	910
9	1	795
9	2	515
9	3	600
9	4	415
9	5	390
9	6	270
9	7	385
9	8	350
9	9	408
9	10	380
9	11	410
9	12	820
9	13	680
9	14	433
9	15	246
9	16	483
9	17	442
9	18	434
9	19	394
9	20	374
9	21	150
9	22	220
9	23	361
9	24	770
9	25	652
9	26	533
9	27	394
11	1	542
11	2	396
11	3	475
11	4	920
11	5	364
11	6	695
11	7	315
11	8	334
11	9	305
11	10	466
11	11	540
11	12	825
11	13	462
11	14	777
11	15	670
11	16	620
11	17	366
11	18	585
11	19	646
11	20	750
11	21	390
11	22	273
11	23	580
11	24	225
11	25	490
11	26	355
13	1	230
13	2	390
13	3	430
13	4	260
13	5	590
13	6	350
13	7	310
13	8	400
13	9	570
13	10	260
13	11	720
13	12	540
13	13	380
13	14	390
13	15	580
13	16	620
13	17	680
13	18	340
15	1	310
15	2	203
15	3	550
15	4	495
15	5	341
15	6	380
15	7	230
15	8	383
15	9	210
15	10	475
15	11	415
15	12	390
15	13	380
15	14	390
15	15	580
15	16	620
15	17	680
15	18	340
17	1	582
17	2	555
17	3	415
17	4	455
17	5	760
17	6	256
17	7	360
17	8	356
17	9	345
17	10	370
17	11	360
17	12	670
17	13	545
17	14	705
17	15	615
17	16	850
17	17	605
17	18	990
19	1	170
19	2	240
19	3	234
19	4	306
19	5	480
19	6	508
19	7	510
19	8	425
19	9	400
19	10	620
19	11	335
19	12	555
19	13	582
19	14	825
19	15	462
19	16	777
19	17	594
19	18	425
19	19	262
19	20	440
19	21	520
19	22	295
19	23	340
19	24	425
19	25	325
19	26	345
19	27	192
19	28	300
19	29	695
19	30	390
19	31	273
19	32	490
19	33	1300
19	34	620
19	35	535
19	36	375
19	37	525
21	1	715
21	2	370
21	3	440
21	4	594
21	5	425
21	6	262
21	7	440
21	8	900
21	9	500
21	10	540
21	11	445
21	12	740
21	13	395
21	14	410
21	15	475
21	16	295
21	17	545
21	18	645
21	19	425
21	20	790
21	21	525
23	1	230
23	2	400
23	3	1370
23	4	1270
23	5	445
23	6	625
23	7	615
23	8	720
23	9	575
23	10	400
23	11	605
23	12	825
23	13	560
23	14	1660
23	15	755
23	16	710
23	17	530
25	1	440
25	2	388
25	3	420
25	4	435
25	5	291
25	6	425
25	7	504
25	8	400
25	9	480
25	10	770
25	11	415
25	12	380
25	13	410
25	14	820
25	15	810
25	16	720
25	17	1840
25	18	1280
25	19	1100
25	20	800
25	21	5360
25	22	855
25	23	725
25	24	942
25	25	760
25	26	1610
25	27	815
25	28	860
25	29	970
25	30	910
27	1	1360
27	2	750
27	3	405
27	4	405
27	5	270
27	6	290
27	7	395
27	8	530
27	9	380
27	10	175
28	1	425
28	2	400
28	3	530
28	4	395
28	5	290
28	6	270
28	7	405
28	8	350
28	9	620
28	10	1360
29	1	700
29	2	350
29	3	410
29	4	370
29	5	350
29	6	386
29	7	475
