LINE	STOP	NODE
1	1	1
1	2	2
1	3	3
1	4	4
1	5	5
1	6	6
1	7	7
1	8	8
1	9	9
1	10	10
1	11	11
1	12	12
1	13	13
1	14	14
1	15	15
1	16	16
1	17	17
1	18	18
1	19	19
1	20	20
1	21	21
1	22	22
1	23	23
1	24	24
1	25	25
1	26	26
1	27	27
1	28	28
1	29	29
1	30	30
1	31	31
1	32	32
1	33	33
1	34	34
1	35	35
1	36	36
1	37	37
1	38	38
1	39	39
3	1	40
3	2	41
3	3	42
3	4	43
3	5	44
3	6	45
3	7	46
3	8	47
3	9	48
3	10	49
3	11	50
3	12	51
3	13	52
3	14	53
3	15	54
3	16	55
3	17	56
3	18	57
3	19	58
3	20	59
3	21	60
3	22	61
3	23	62
3	24	63
3	25	64
3	26	65
3	27	66
3	28	67
3	29	68
3	30	69
3	31	70
5	1	71
5	2	72
5	3	73
5	4	74
5	5	75
5	6	76
5	7	77
5	8	78
5	9	79
5	10	80
5	11	81
5	12	82
5	13	83
5	14	84
5	15	85
5	16	86
5	17	54
5	18	55
5	19	56
5	20	57
5	21	58
5	22	87
5	23	88
5	24	89
5	25	90
5	26	91
5	27	92
5	28	93
5	29	94
5	30	95
5	31	96
5	32	97
5	33	98
5	34	99
5	35	100
5	36	93
5	37	101
5	38	102
5	39	103
5	40	104
5	41	94
7	1	105
7	2	106
7	3	107
7	4	108
7	5	109
7	6	110
7	7	111
7	8	112
7	9	113
7	10	114
7	11	52
7	12	53
7	13	54
7	14	55
7	15	56
7	16	57
7	17	58
7	18	87
7	19	88
7	20	89
7	21	90
7	22	91
7	23	92
7	24	93
7	25	94
7	26	95
7	27	96
7	28	97
7	29	115
7	30	116
7	31	117
7	32	118
7	33	119
9	1	111
9	2	112
9	3	113
9	4	120
9	5	121
9	6	122
9	7	123
9	8	124
9	9	125
9	10	126
9	11	56
9	12	57
9	13	58
9	14	59
9	15	60
9	16	127
9	17	128
9	18	129
9	19	130
9	20	131
9	21	132
9	22	133
9	23	134
9	24	68
9	25	69
9	26	135
9	27	136
9	28	137
11	1	1
11	2	2
11	3	138
11	4	139
11	5	140
11	6	141
11	7	142
11	8	143
11	9	144
11	10	145
11	11	146
11	12	147
11	13	148
11	14	16
11	15	17
11	16	149
11	17	150
11	18	151
11	19	152
11	20	153
11	21	154
11	22	155
11	23	156
11	24	157
11	25	158
11	26	159
11	27	160
13	1	161
13	2	162
13	3	163
13	4	164
13	5	165
13	6	166
13	7	167
13	8	168
13	9	169
13	10	170
13	11	171
13	12	172
13	13	122
13	14	173
13	15	174
13	16	150
13	17	149
13	18	17
13	19	175
15	1	176
15	2	177
15	3	178
15	4	179
15	5	180
15	6	81
15	7	82
15	8	181
15	9	182
15	10	183
15	11	184
15	12	121
15	13	122
15	14	173
15	15	174
15	16	150
15	17	149
15	18	17
15	19	175
17	1	147
17	2	185
17	3	186
17	4	15
17	5	16
17	6	187
17	7	188
17	8	189
17	9	190
17	10	21
17	11	22
17	12	23
17	13	191
17	14	192
17	15	193
17	16	194
17	17	195
17	18	196
17	19	197
19	1	198
19	2	199
19	3	200
19	4	201
19	5	202
19	6	203
19	7	204
19	8	205
19	9	206
19	10	207
19	11	208
19	12	186
19	13	185
19	14	147
19	15	148
19	16	16
19	17	17
19	18	18
19	19	19
19	20	20
19	21	209
19	22	210
19	23	211
19	24	212
19	25	213
19	26	214
19	27	215
19	28	216
19	29	217
19	30	154
19	31	155
19	32	156
19	33	218
19	34	219
19	35	220
19	36	221
19	37	222
19	38	223
21	1	147
21	2	224
21	3	225
21	4	17
21	5	18
21	6	19
21	7	20
21	8	209
21	9	226
21	10	227
21	11	228
21	12	229
21	13	230
21	14	231
21	15	232
21	16	233
21	17	234
21	18	235
21	19	236
21	20	237
21	21	222
21	22	223
23	1	70
23	2	69
23	3	238
23	4	239
23	5	240
23	6	241
23	7	242
23	8	243
23	9	244
23	10	245
23	11	196
23	12	195
23	13	246
23	14	247
23	15	28
23	16	29
23	17	30
23	18	31
25	1	77
25	2	78
25	3	79
25	4	80
25	5	81
25	6	82
25	7	83
25	8	84
25	9	85
25	10	86
25	11	54
25	12	55
25	13	56
25	14	57
25	15	58
25	16	87
25	17	88
25	18	89
25	19	90
25	20	91
25	21	92
25	22	93
25	23	94
25	24	95
25	25	96
25	26	97
25	27	115
25	28	116
25	29	117
25	30	118
25	31	119
27	1	248
27	2	249
27	3	250
27	4	251
27	5	252
27	6	253
27	7	254
27	8	255
27	9	256
27	10	257
27	11	258
28	1	258
28	2	259
28	3	256
28	4	255
28	5	254
28	6	253
28	7	252
28	8	251
28	9	260
28	10	249
28	11	248
29	1	1
29	2	261
29	3	262
29	4	263
29	5	264
29	6	265
29	7	266
29	8	267
29	9	200
29	10	201
29	11	202
29	12	268
29	13	269
29	14	270
29	15	271
29	16	181
29	17	272
29	18	273
29	19	274
29	20	275
29	21	276
29	22	277
29	23	278
29	24	279
29	25	280
29	26	281
29	27	111
29	28	282
29	29	283
29	30	284
29	31	285
29	32	286
29	33	287
29	34	288
29	35	289
29	36	290
29	37	291
31	1	176
31	2	292
31	3	293
31	4	294
31	5	295
31	6	296
31	7	297
31	8	5
31	9	4
31	10	3
31	11	261
31	12	298
31	13	299
31	14	300
31	15	301
31	16	302
31	17	303
31	18	304
31	19	305
31	20	306
31	21	307
31	22	308
31	23	12
31	24	13
31	25	14
31	26	15
31	27	309
31	28	248
31	29	310
31	30	311
31	31	312
31	32	313
31	33	314
31	34	315
31	35	316
31	36	317
31	37	318
31	38	319
31	39	320
31	40	321
31	41	232
31	42	233
31	43	322
31	44	323
31	45	324
31	46	325
31	47	326
31	48	327
31	49	328
32	1	328
32	2	327
32	3	326
32	4	325
32	5	324
32	6	323
32	7	322
32	8	233
32	9	232
32	10	321
32	11	320
32	12	319
32	13	318
32	14	317
32	15	316
32	16	315
32	17	314
32	18	313
32	19	312
32	20	311
32	21	310
32	22	248
32	23	329
32	24	15
32	25	14
32	26	13
32	27	12
32	28	308
32	29	307
32	30	306
32	31	305
32	32	304
32	33	303
32	34	302
32	35	301
32	36	300
32	37	299
32	38	298
32	39	261
32	40	3
32	41	4
32	42	5
32	43	297
32	44	296
32	45	295
32	46	294
32	47	293
32	48	292
32	49	176
33	1	1
33	2	261
33	3	298
33	4	299
33	5	300
33	6	330
33	7	331
33	8	332
33	9	333
33	10	334
33	11	335
33	12	336
33	13	61
33	14	62
33	15	63
33	16	64
33	17	337
33	18	338
33	19	339
33	20	340
33	21	341
33	22	342
33	23	343
33	24	344
33	25	345
33	26	346
33	27	347
33	28	348
33	29	349
33	30	350
33	31	351
33	32	321
33	33	232
33	34	352
33	35	353
33	36	354
33	37	355
33	38	356
33	39	357
33	40	358
33	41	359
33	42	283
33	43	282
33	44	111
33	45	360
33	46	361
33	47	362
33	48	276
33	49	363
34	1	363
34	2	276
34	3	362
34	4	361
34	5	360
34	6	111
34	7	282
34	8	283
34	9	359
34	10	358
34	11	357
34	12	356
34	13	355
34	14	354
34	15	353
34	16	352
34	17	232
34	18	321
34	19	351
34	20	350
34	21	349
34	22	348
34	23	347
34	24	346
34	25	364
34	26	365
34	27	343
34	28	366
