LINE	SECTION	DISTANCE
1	1	542
1	2	304
1	3	412
1	4	472
1	5	275
1	6	338
1	7	500
1	8	418
1	9	443
1	10	466
1	11	420
1	12	335
1	13	557
1	14	480
1	15	455
1	16	777
1	17	594
1	18	425
1	19	262
1	20	600
1	21	370
1	22	360
1	23	596
1	24	575
1	25	325
1	26	920
1	27	1170
1	28	755
1	29	710
1	30	530
1	31	804
1	32	407
1	33	555
1	34	444
1	35	575
1	36	628
1	37	525
1	38	650
2	1	292
2	2	373
2	3	227
2	4	330
2	5	730
2	6	468
2	7	215
2	8	285
2	9	360
2	10	420
2	11	242
2	12	470
2	13	470
2	14	530
2	15	415
2	16	380
2	17	410
2	18	820
2	19	680
2	20	433
2	21	357
2	22	335
2	23	355
2	24	315
2	25	540
2	26	405
2	27	400
2	28	395
2	29	770
2	30	230
3	1	450
3	2	530
3	3	382
3	4	300
3	5	380
3	6	475
3	7	440
3	8	388
3	9	420
3	10	435
3	11	291
3	12	425
3	13	504
3	14	400
3	15	480
3	16	770
3	17	415
3	18	380
3	19	410
3	20	820
3	21	810
3	22	720
3	23	1840
3	24	1280
3	25	1100
3	26	800
3	27	5360
3	28	855
3	29	725
3	30	942
3	31	760
3	32	1070
3	33	1010
3	34	1520
3	35	725
3	36	822
3	37	1260
3	38	770
3	39	510
3	40	1100
4	1	440
4	2	540
4	3	303
4	4	370
4	5	465
4	6	620
4	7	795
4	8	515
4	9	440
4	10	590
4	11	470
4	12	530
4	13	415
4	14	380
4	15	410
4	16	820
4	17	810
4	18	720
4	19	1840
4	20	1280
4	21	1100
4	22	800
4	23	5360
4	24	855
4	25	725
4	26	942
4	27	760
4	28	1610
4	29	815
4	30	860
4	31	970
4	32	910
5	1	795
5	2	515
5	3	600
5	4	415
5	5	390
5	6	270
5	7	385
5	8	350
5	9	408
5	10	380
5	11	410
5	12	820
5	13	680
5	14	433
5	15	246
5	16	483
5	17	442
5	18	434
5	19	394
5	20	374
5	21	150
5	22	220
5	23	361
5	24	770
5	25	652
5	26	533
5	27	394
6	1	542
6	2	396
6	3	475
6	4	920
6	5	364
6	6	695
6	7	315
6	8	334
6	9	305
6	10	466
6	11	540
6	12	825
6	13	462
6	14	777
6	15	670
6	16	620
6	17	366
6	18	585
6	19	646
6	20	750
6	21	390
6	22	273
6	23	580
6	24	225
6	25	490
6	26	355
7	1	230
7	2	390
7	3	430
7	4	260
7	5	590
7	6	350
7	7	310
7	8	400
7	9	570
7	10	260
7	11	720
7	12	540
7	13	380
7	14	390
7	15	580
7	16	620
7	17	680
7	18	340
8	1	310
8	2	203
8	3	550
8	4	495
8	5	341
8	6	380
8	7	230
8	8	383
8	9	210
8	10	475
8	11	415
8	12	390
8	13	380
8	14	390
8	15	580
8	16	620
8	17	680
8	18	340
9	1	582
9	2	555
9	3	415
9	4	455
9	5	760
9	6	256
9	7	360
9	8	356
9	9	345
9	10	370
9	11	360
9	12	670
9	13	545
9	14	705
9	15	615
9	16	850
9	17	605
9	18	990
11	1	715
11	2	370
11	3	440
11	4	594
11	5	425
11	6	262
11	7	440
11	8	900
11	9	500
11	10	540
11	11	445
11	12	740
11	13	395
11	14	410
11	15	475
11	16	295
11	17	545
11	18	645
11	19	425
11	20	790
11	21	525
12	1	1370
12	2	1270
12	3	445
12	4	625
12	5	615
12	6	720
12	7	575
12	8	400
12	9	605
12	10	825
12	11	560
12	12	1660
12	13	755
12	14	710
12	15	530
13	1	440
13	2	388
13	3	420
13	4	435
13	5	291
13	6	425
13	7	504
13	8	400
13	9	480
13	10	770
13	11	415
13	12	380
13	13	410
13	14	820
13	15	810
13	16	720
13	17	1840
13	18	1280
13	19	1100
13	20	800
13	21	5360
13	22	855
13	23	725
13	24	942
13	25	760
13	26	1610
13	27	815
13	28	860
13	29	970
13	30	910
14	1	1360
14	2	750
14	3	405
14	4	405
14	5	270
14	6	290
14	7	395
14	8	530
14	9	380
14	10	175
15	1	425
15	2	400
15	3	530
15	4	395
15	5	290
15	6	270
15	7	405
15	8	350
15	9	620
15	10	1360
16	1	700
16	2	350
16	3	410
16	4	370
16	5	350
16	6	386
16	7	475
16	8	365
16	9	234
16	10	306
16	11	185
16	12	410
16	13	270
16	14	400
16	15	315
16	16	350
16	17	480
16	18	495
16	19	365
16	20	510
16	21	545
16	22	255
16	23	435
16	24	560
16	25	375
16	26	425
16	27	560
16	28	450
16	29	510
16	30	435
16	31	500
16	32	215
16	33	285
16	34	383
16	35	430
16	36	475
