LINE	STOP	NODE
1	1	1
1	2	2
1	3	3
1	4	4
1	5	5
1	6	6
1	7	7
1	8	8
1	9	9
1	10	10
1	11	11
1	12	12
1	13	13
1	14	14
1	15	15
1	16	16
1	17	17
1	18	18
1	19	19
1	20	20
1	21	21
1	22	22
1	23	23
1	24	24
1	25	25
1	26	26
1	27	27
1	28	28
1	29	29
1	30	30
1	31	31
1	32	32
1	33	33
1	34	34
1	35	35
1	36	36
1	37	37
1	38	38
1	39	39
2	1	40
2	2	41
2	3	42
2	4	43
2	5	44
2	6	45
2	7	46
2	8	47
2	9	48
2	10	49
2	11	50
2	12	51
2	13	52
2	14	53
2	15	54
2	16	55
2	17	56
2	18	57
2	19	58
2	20	59
2	21	60
2	22	61
2	23	62
2	24	63
2	25	64
2	26	65
2	27	66
2	28	67
2	29	68
2	30	69
2	31	70
3	1	71
3	2	72
3	3	73
3	4	74
3	5	75
3	6	76
3	7	77
3	8	78
3	9	79
3	10	80
3	11	81
3	12	82
3	13	83
3	14	84
3	15	85
3	16	86
3	17	54
3	18	55
3	19	56
3	20	57
3	21	58
3	22	87
3	23	88
3	24	89
3	25	90
3	26	91
3	27	92
3	28	93
3	29	94
3	30	95
3	31	96
3	32	97
3	33	98
3	34	99
3	35	100
3	36	93
3	37	101
3	38	102
3	39	103
3	40	104
3	41	94
4	1	105
4	2	106
4	3	107
4	4	108
4	5	109
4	6	110
4	7	111
4	8	112
4	9	113
4	10	114
4	11	52
4	12	53
4	13	54
4	14	55
4	15	56
4	16	57
4	17	58
4	18	87
4	19	88
4	20	89
4	21	90
4	22	91
4	23	92
4	24	93
4	25	94
4	26	95
4	27	96
4	28	97
4	29	115
4	30	116
4	31	117
4	32	118
4	33	119
5	1	111
5	2	112
5	3	113
5	4	120
5	5	121
5	6	122
5	7	123
5	8	124
5	9	125
5	10	126
5	11	56
5	12	57
5	13	58
5	14	59
5	15	60
5	16	127
5	17	128
5	18	129
5	19	130
5	20	131
5	21	132
5	22	133
5	23	134
5	24	68
5	25	69
5	26	135
5	27	136
5	28	137
6	1	1
6	2	2
6	3	138
6	4	139
6	5	140
6	6	141
6	7	142
6	8	143
6	9	144
6	10	145
6	11	146
6	12	147
6	13	148
6	14	16
6	15	17
6	16	149
6	17	150
6	18	151
6	19	152
6	20	153
6	21	154
6	22	155
6	23	156
6	24	157
6	25	158
6	26	159
6	27	160
7	1	161
7	2	162
7	3	163
7	4	164
7	5	165
7	6	166
7	7	167
7	8	168
7	9	169
7	10	170
7	11	171
7	12	172
7	13	122
7	14	173
7	15	174
7	16	150
7	17	149
7	18	17
7	19	175
8	1	176
8	2	177
8	3	178
8	4	179
8	5	180
8	6	81
8	7	82
8	8	181
8	9	182
8	10	183
8	11	184
8	12	121
8	13	122
8	14	173
8	15	174
8	16	150
8	17	149
8	18	17
8	19	175
9	1	147
9	2	185
9	3	186
9	4	15
9	5	16
9	6	187
9	7	188
9	8	189
9	9	190
9	10	21
9	11	22
9	12	23
9	13	191
9	14	192
9	15	193
9	16	194
9	17	195
9	18	196
9	19	197
10	1	198
10	2	199
10	3	200
10	4	201
10	5	202
10	6	203
10	7	204
10	8	205
10	9	206
10	10	207
10	11	208
10	12	186
10	13	185
10	14	147
10	15	148
10	16	16
10	17	17
10	18	18
10	19	19
10	20	20
10	21	209
10	22	210
10	23	211
10	24	212
10	25	213
10	26	214
10	27	215
10	28	216
10	29	217
10	30	154
10	31	155
10	32	156
10	33	218
10	34	219
10	35	220
10	36	221
10	37	222
10	38	223
11	1	147
11	2	224
11	3	225
11	4	17
11	5	18
11	6	19
11	7	20
11	8	209
11	9	226
11	10	227
11	11	228
11	12	229
11	13	230
11	14	231
11	15	232
11	16	233
11	17	234
11	18	235
11	19	236
11	20	237
11	21	222
11	22	223
12	1	238
12	2	239
12	3	240
12	4	241
12	5	242
12	6	243
12	7	244
12	8	245
12	9	196
12	10	195
12	11	246
12	12	247
12	13	28
12	14	29
12	15	30
12	16	31
13	1	77
13	2	78
13	3	79
13	4	80
13	5	81
13	6	82
13	7	83
13	8	84
13	9	85
13	10	86
13	11	54
13	12	55
13	13	56
13	14	57
13	15	58
13	16	87
13	17	88
13	18	89
13	19	90
13	20	91
13	21	92
13	22	93
13	23	94
13	24	95
13	25	96
13	26	97
13	27	115
13	28	116
13	29	117
13	30	118
13	31	119
